UniprotID,original_uid,uniprot_query_status,primary_accession,secondary_accessions,canonical_or_isoform,organism,sequence_length,afdb_primary_probe_status,afdb_secondary_probe_status,reviewed_accession_candidate,reviewed_accession_action,review_notes
P04021,P04021,,,,,,372,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04024,P04024,,,,,,912,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04041,P04041,,,,,,201,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04048,P04048,,,,,,370,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04290,P04290,,,,,,518,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04298,P04298,,,,,,844,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04311,P04311,,,,,,213,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04363,P04363,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04382,P04382,,,,,,193,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04392,P04392,,,,,,259,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04407,P04407,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04408,P04408,,,,,,361,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04413,P04413,,,,,,481,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04418,P04418,,,,,,138,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04531,P04531,,,,,,241,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04533,P04533,,,,,,152,404,,,,AFDB v6 structure could not be fetched for the original UID.
P05079,P05079,,,,,,179,404,,,,AFDB v6 structure could not be fetched for the original UID.
P05807,P05807,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06018,P06018,,,,,,241,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06420,P06420,,,,,,603,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06421,P06421,,,,,,644,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06431,P06431,,,,,,392,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06474,P06474,,,,,,340,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06478,P06478,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06479,P06479,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06789,P06789,,,,,,657,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06854,P06854,,,,,,294,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06855,P06855,,,,,,301,404,,,,AFDB v6 structure could not be fetched for the original UID.
P06920,P06920,,,,,,606,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07071,P07071,,,,,,605,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07203,P07203,,,,,,203,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07239,P07239,,,,,,171,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07296,P07296,,,,,,860,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07297,P07297,,,,,,673,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07298,P07298,,,,,,671,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07299,P07299,,,,,,781,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07300,P07300,,,,,,672,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07331,P07331,,,,,,374,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07541,P07541,,,,,,332,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07570,P07570,,,,,,911,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07605,P07605,,,,,,178,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07606,P07606,,,,,,279,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07617,P07617,,,,,,333,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07658,P07658,,,,,,715,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07693,P07693,,,,,,152,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07966,P07966,,,,,,642,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07967,P07967,,,,,,642,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07968,P07968,,,,,,642,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07970,P07970,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07971,P07971,,,,,,642,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07973,P07973,,,,,,642,000,,,,AFDB v6 structure could not be fetched for the original UID.
P07974,P07974,,,,,,642,404,,,,AFDB v6 structure could not be fetched for the original UID.
P07975,P07975,,,,,,655,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08333,P08333,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08344,P08344,,,,,,608,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08358,P08358,,,,,,240,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08763,P08763,,,,,,646,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08773,P08773,,,,,,246,404,,,,AFDB v6 structure could not be fetched for the original UID.
P08794,P08794,,,,,,245,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09247,P09247,,,,,,306,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09248,P09248,,,,,,775,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09249,P09249,,,,,,301,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09250,P09250,,,,,,341,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09251,P09251,,,,,,393,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09254,P09254,,,,,,396,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09296,P09296,,,,,,510,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09389,P09389,,,,,,443,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09503,P09503,,,,,,187,404,,,,AFDB v6 structure could not be fetched for the original UID.
P09915,P09915,,,,,,503,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0E6,P0C0E6,,,,,,341,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0V9,P0C0V9,,,,,,416,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W0,P0C0W0,,,,,,416,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W3,P0C0W3,,,,,,458,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W4,P0C0W4,,,,,,458,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W5,P0C0W5,,,,,,467,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W6,P0C0W6,,,,,,467,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C0W7,P0C0W7,,,,,,495,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C1G4,P0C1G4,,,,,,135,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2D4,P0C2D4,,,,,,38,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2K5,P0C2K5,,,,,,7,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2K7,P0C2K7,,,,,,8,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2K8,P0C2K8,,,,,,7,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2K9,P0C2K9,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2L0,P0C2L0,,,,,,33,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C2L1,P0C2L1,,,,,,30,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C6L1,P0C6L1,,,,,,329,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C6Z8,P0C6Z8,,,,,,429,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C701,P0C701,,,,,,302,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C702,P0C702,,,,,,826,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C731,P0C731,,,,,,429,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8F2,P0C8F2,,,,,,298,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8F3,P0C8F3,,,,,,298,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8F4,P0C8F4,,,,,,299,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8F9,P0C8F9,,,,,,235,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8G1,P0C8G1,,,,,,239,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8G2,P0C8G2,,,,,,239,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8G8,P0C8G8,,,,,,119,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8G9,P0C8G9,,,,,,119,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8H7,P0C8H7,,,,,,779,000,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8H8,P0C8H8,,,,,,778,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8H9,P0C8H9,,,,,,778,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I0,P0C8I0,,,,,,327,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I1,P0C8I1,,,,,,327,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I2,P0C8I2,,,,,,327,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I3,P0C8I3,,,,,,185,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I4,P0C8I4,,,,,,188,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I5,P0C8I5,,,,,,188,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8I6,P0C8I6,,,,,,196,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C8L5,P0C8L5,,,,,,26,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C942,P0C942,,,,,,122,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C943,P0C943,,,,,,122,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C993,P0C993,,,,,,868,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C995,P0C995,,,,,,868,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9A2,P0C9A2,,,,,,962,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9A4,P0C9A4,,,,,,963,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9A8,P0C9A8,,,,,,513,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9A9,P0C9A9,,,,,,513,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9B0,P0C9B0,,,,,,509,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9C3,P0C9C3,,,,,,165,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9C4,P0C9C4,,,,,,165,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9C5,P0C9C5,,,,,,165,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9E0,P0C9E0,,,,,,318,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9E1,P0C9E1,,,,,,318,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0C9E2,P0C9E2,,,,,,318,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0CAP6,P0CAP6,,,,,,302,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0CAP7,P0CAP7,,,,,,302,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0CAT1,P0CAT1,,,,,,29,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0CH86,P0CH86,,,,,,298,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0CK60,P0CK60,,,,,,281,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DMG8,P0DMG8,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DMG9,P0DMG9,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOI5,P0DOI5,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOI6,P0DOI6,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOI7,P0DOI7,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOJ4,P0DOJ4,,,,,,782,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOJ5,P0DOJ5,,,,,,782,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOJ6,P0DOJ6,,,,,,782,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOL5,P0DOL5,,,,,,95,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOL6,P0DOL6,,,,,,95,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOM7,P0DOM7,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOM8,P0DOM8,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOQ3,P0DOQ3,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOQ4,P0DOQ4,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOQ5,P0DOQ5,,,,,,171,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOQ6,P0DOQ6,,,,,,171,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DOU5,P0DOU5,,,,,,213,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DPS2,P0DPS2,,,,,,488,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DRL0,P0DRL0,,,,,,20,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DRM4,P0DRM4,,,,,,228,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSS7,P0DSS7,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSS8,P0DSS8,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSU5,P0DSU5,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSU6,P0DSU6,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSV1,P0DSV1,,,,,,771,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSV2,P0DSV2,,,,,,771,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSV5,P0DSV5,,,,,,205,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSV6,P0DSV6,,,,,,205,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSX5,P0DSX5,,,,,,844,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSX6,P0DSX6,,,,,,844,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSZ7,P0DSZ7,,,,,,147,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DSZ8,P0DSZ8,,,,,,147,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTH5,P0DTH5,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTK3,P0DTK3,,,,,,351,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTK5,P0DTK5,,,,,,187,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTK6,P0DTK6,,,,,,291,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTK7,P0DTK7,,,,,,480,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTK8,P0DTK8,,,,,,278,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DTL0,P0DTL0,,,,,,257,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DUN3,P0DUN3,,,,,,107,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DUN4,P0DUN4,,,,,,92,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DXF1,P0DXF1,,,,,,502,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DXV0,P0DXV0,,,,,,540,000,,,,AFDB v6 structure could not be fetched for the original UID.
P0DXY3,P0DXY3,,,,,,330,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY08,P0DY08,,,,,,509,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY09,P0DY09,,,,,,546,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY10,P0DY10,,,,,,363,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY11,P0DY11,,,,,,461,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY12,P0DY12,,,,,,423,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY14,P0DY14,,,,,,370,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY29,P0DY29,,,,,,575,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY30,P0DY30,,,,,,335,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY32,P0DY32,,,,,,532,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY33,P0DY33,,,,,,346,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY34,P0DY34,,,,,,260,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY45,P0DY45,,,,,,188,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY46,P0DY46,,,,,,464,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY48,P0DY48,,,,,,559,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY49,P0DY49,,,,,,228,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY52,P0DY52,,,,,,523,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY53,P0DY53,,,,,,304,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY54,P0DY54,,,,,,152,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY61,P0DY61,,,,,,323,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY62,P0DY62,,,,,,151,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY63,P0DY63,,,,,,442,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY81,P0DY81,,,,,,333,404,,,,AFDB v6 structure could not be fetched for the original UID.
P0DY82,P0DY82,,,,,,297,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10052,P10052,,,,,,183,000,,,,AFDB v6 structure could not be fetched for the original UID.
P10224,P10224,,,,,,340,000,,,,AFDB v6 structure could not be fetched for the original UID.
P10234,P10234,,,,,,371,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10271,P10271,,,,,,860,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10277,P10277,,,,,,777,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10421,P10421,,,,,,342,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10447,P10447,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10533,P10533,,,,,,367,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10748,P10748,,,,,,520,404,,,,AFDB v6 structure could not be fetched for the original UID.
P10835,P10835,,,,,,377,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11014,P11014,,,,,,332,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11037,P11037,,,,,,230,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11107,P11107,,,,,,450,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11156,P11156,,,,,,388,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11158,P11158,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11273,P11273,,,,,,540,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11298,P11298,,,,,,604,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11328,P11328,,,,,,611,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11352,P11352,,,,,,201,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11887,P11887,,,,,,30,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11909,P11909,,,,,,200,404,,,,AFDB v6 structure could not be fetched for the original UID.
P11918,P11918,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12320,P12320,,,,,,39,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12366,P12366,,,,,,804,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12381,P12381,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12427,P12427,,,,,,259,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12431,P12431,,,,,,374,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12462,P12462,,,,,,290,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12726,P12726,,,,,,682,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12848,P12848,,,,,,771,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12905,P12905,,,,,,777,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12927,P12927,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
P12929,P12929,,,,,,668,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13071,P13071,,,,,,5,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13157,P13157,,,,,,310,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13159,P13159,,,,,,343,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13287,P13287,,,,,,481,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13288,P13288,,,,,,429,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13300,P13300,,,,,,193,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13771,P13771,,,,,,312,404,,,,AFDB v6 structure could not be fetched for the original UID.
P13894,P13894,,,,,,587,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14084,P14084,,,,,,568,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14085,P14085,,,,,,557,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14217,P14217,,,,,,647,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14396,P14396,,,,,,154,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14398,P14398,,,,,,149,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14405,P14405,,,,,,12,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14422,P14422,,,,,,68,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14583,P14583,,,,,,801,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14597,P14597,,,,,,159,404,,,,AFDB v6 structure could not be fetched for the original UID.
P14999,P14999,,,,,,691,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15054,P15054,,,,,,587,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15443,P15443,,,,,,391,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15736,P15736,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15776,P15776,,,,,,424,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15879,P15879,,,,,,251,404,,,,AFDB v6 structure could not be fetched for the original UID.
P15916,P15916,,,,,,308,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16006,P16006,,,,,,193,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16101,P16101,,,,,,7,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16392,P16392,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16600,P16600,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16788,P16788,,,,,,707,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16824,P16824,,,,,,388,404,,,,AFDB v6 structure could not be fetched for the original UID.
P16913,P16913,,,,,,300,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17003,P17003,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17004,P17004,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17005,P17005,,,,,,641,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17337,P17337,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17338,P17338,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17339,P17339,,,,,,10,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17374,P17374,,,,,,147,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17382,P17382,,,,,,629,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17402,P17402,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17440,P17440,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17441,P17441,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17613,P17613,,,,,,334,404,,,,AFDB v6 structure could not be fetched for the original UID.
P17653,P17653,,,,,,352,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18029,P18029,,,,,,246,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18030,P18030,,,,,,246,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18172,P18172,,,,,,625,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18173,P18173,,,,,,625,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18250,P18250,,,,,,744,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18283,P18283,,,,,,190,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18547,P18547,,,,,,660,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18555,P18555,,,,,,196,404,,,,AFDB v6 structure could not be fetched for the original UID.
P18999,P18999,,,,,,22,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19118,P19118,,,,,,10,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19149,P19149,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19574,P19574,,,,,,39,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19618,P19618,,,,,,601,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19621,P19621,,,,,,26,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19916,P19916,,,,,,4,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19917,P19917,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19918,P19918,,,,,,4,404,,,,AFDB v6 structure could not be fetched for the original UID.
P19985,P19985,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20011,P20011,,,,,,13,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20012,P20012,,,,,,13,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20304,P20304,,,,,,13,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20315,P20315,,,,,,566,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20493,P20493,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20495,P20495,,,,,,171,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20502,P20502,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20503,P20503,,,,,,771,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20505,P20505,,,,,,300,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20637,P20637,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20638,P20638,,,,,,372,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20979,P20979,,,,,,844,404,,,,AFDB v6 structure could not be fetched for the original UID.
P20999,P20999,,,,,,219,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21011,P21011,,,,,,213,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21033,P21033,,,,,,333,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21050,P21050,,,,,,95,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21095,P21095,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21097,P21097,,,,,,346,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21290,P21290,,,,,,216,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21293,P21293,,,,,,527,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21407,P21407,,,,,,998,404,,,,AFDB v6 structure could not be fetched for the original UID.
P21974,P21974,,,,,,219,404,,,,AFDB v6 structure could not be fetched for the original UID.
P22153,P22153,,,,,,643,404,,,,AFDB v6 structure could not be fetched for the original UID.
